t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.2,0.000417743158896,4.99999998255,2.0,0.999994904099,6.668761415e-07,0.00319245603258,-1.36079068907e-09,0.00626544651766,-5.23469485863e-07,0.0,2.6683135462e-05,0.0318880224834,-3.31418442252e-09,0.0626369449359,-1.30843951618e-05,0.0,0.000399904613612,-0.000548551580532,-4.90270674002e-08,1.71679551077,1.71671792255,1.7167744889,1.71685205449,0.312834366086,-0.000261605945398,0.0,-0.00525412348482,-0.00392163096536,0.0
0.22,0.000555996554997,4.99999996909,2.0,0.999993835444,9.76240515815e-07,0.00351127789823,-2.17856049184e-09,0.00758074510914,-8.4297363821e-07,0.0,3.5504183443e-05,0.0318765036183,-4.39415534806e-09,0.0688925464416,-1.91543432398e-05,0.0,0.000483685617143,-0.000603332778029,-5.91460474324e-08,1.71680080008,1.7167154623,1.7167838794,1.71686918989,0.312724034974,-0.000348128809758,0.0,-0.00577897641854,-0.00474361259808,0.0
0.24,0.000721806892622,4.9999999479,2.0,0.999992665604,1.38244019602e-06,0.0038299787414,-3.34918160498e-09,0.00902113296472,-1.30230320421e-06,0.0,4.60800225164e-05,0.0318638892337,-5.68588145523e-09,0.0751458363584,-2.71243251423e-05,0.0,0.000575380537351,-0.000658104197706,-7.02018348157e-08,1.71680622415,1.71671313796,1.71679452523,1.71688757902,0.312603207356,-0.000451868204769,0.0,-0.00630378076133,-0.00564325706074,0.0
0.26,0.000917675480739,4.99999991579,2.0,0.999991394738,1.90381364196e-06,0.00414854757593,-4.97610649022e-09,0.0105865617534,-1.94300566201e-06,0.0,5.85687563348e-05,0.0318501794852,-7.20805774835e-09,0.0813966047629,-3.73541930171e-05,0.0,0.000674971619022,-0.000712870097763,-8.21902490761e-08,1.71681178344,1.71671094942,1.71680642376,1.71690721985,0.312471883764,-0.000574375720155,0.0,-0.00682858253031,-0.00662039523206,0.0
0.28,0.00114610261971,4.99999986864,2.0,0.999990023021,2.56027844273e-06,0.00446697341682,-7.18122211789e-09,0.0122769789457,-2.81413562029e-06,0.0,7.31281181403e-05,0.0318353744297,-8.97929209776e-09,0.0876446417326,-5.02347960089e-05,0.0,0.000782439576809,-0.000767636070941,-9.51067577108e-08,1.71681747853,1.71670889645,1.71681957203,1.71692811021,0.312330063681,-0.000717199417254,0.0,-0.00735344082039,-0.00767484339822,0.0
0.3,0.00140958751734,4.99999980131,2.0,0.999988550643,3.37332744542e-06,0.00478524527923,-1.0106338297e-08,0.0140923278135,-3.9728740331e-06,0.0,8.99154401913e-05,0.0318194739983,-1.10180982216e-08,0.0938897373217,-6.61879067745e-05,0.0,0.000897763598267,-0.000822409151937,-1.08946478372e-07,1.71682331012,1.71670697876,1.7168339668,1.71695024787,0.31217774527,-0.000881883537399,0.0,-0.00787842886124,-0.00880640327689,0.0
0.32,0.00171062820484,4.99999970738,2.0,0.999986977804,4.36602457748e-06,0.00510335217701,-1.39146684321e-08,0.0160325474294,-5.48514588665e-06,0.0,0.000109087623251,0.031802477966,-1.33428887107e-08,0.100131681532,-8.56661421714e-05,0.0,0.00102092134677,-0.000877197924812,-1.23704181301e-07,1.71682927902,1.71670519595,1.71684960452,1.71697363049,0.312014925076,-0.00106996821079,0.0,-0.00840363506637,-0.0100148620413,0.0
0.34,0.00205172145291,4.99999957904,2.0,0.999985304721,5.56300036309e-06,0.00542128312102,-1.87923021465e-08,0.018097572665,-7.42623624172e-06,0.0,0.000130801106134,0.0317843859197,-1.59719680991e-08,0.106370264277,-0.000109152878127,0.0,0.0011518889649,-0.0009320126286,-1.39374290741e-07,1.71683538618,1.71670354753,1.71686648132,1.71699825565,0.311841597719,-0.00128298916586,0.0,-0.0089291640739,-0.0112999923439,0.0
0.36,0.00243536268764,4.9999994069,2.0,0.999983531624,6.99044713442e-06,0.00573902711709,-2.4949669214e-08,0.0202873341893,-9.88140451538e-06,0.0,0.000155211835318,0.0317651972243,-1.89235259854e-08,0.112605275343,-0.0001371621587,0.0,0.00129064107689,-0.000986865262855,-1.5595088953e-07,1.7168416327,1.71670203289,1.716884593,1.71702412084,0.311657755552,-0.00152247743906,0.0,-0.00945513777813,-0.0126615523401,0.0
0.38,0.00286404590643,4.99999917972,2.0,0.999981658755,8.67611393808e-06,0.00605657316362,-3.26229942466e-08,0.022601758465,-1.29464968859e-05,0.0,0.000182475234613,0.031744910986,-2.22156302094e-08,0.118836504333,-0.000170238599346,0.0,0.00143715079215,-0.00104176969125,-1.73427719744e-07,1.71684801981,1.71670065131,1.71690393504,1.7170512235,0.311463388313,-0.00178995908516,0.0,-0.00998169635172,-0.0140992857093,0.0
