t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.0,-0.0,5.0,1.5,1.0,0.0,0.0,0.0,-0.0,-0.0,0.0,4.58974327771e-09,0.299715808236,-6.12545866874e-06,0.0,0.0,0.0,9.1794071374e-06,-0.000581609143691,-0.00367526118695,1.71721467531,1.71628428616,1.71713346189,1.71636757664,2.94022186334,0.0,0.0,0.0,0.0,0.0
0.02,3.92024904413e-06,5.0,1.5,0.99999550896,2.93727593369e-09,0.00299700847898,-9.80064875647e-07,0.000588032679299,-4.61046909788e-10,0.0,1.85412349655e-06,0.299669282885,-0.000300139209715,0.0588020986064,-1.15260260556e-07,0.0,0.000274431468814,-0.00465212914559,-0.0294005179352,1.72048911774,1.7130464725,1.71985729808,1.71373047351,2.9398710685,-2.30515387044e-05,0.0,-0.0350784326514,-0.00345757678605,0.0
0.04,3.1360869824e-05,4.9999999999,1.5,0.999982041426,4.69882367022e-08,0.00599305968322,-7.84030117237e-06,0.00235199040344,-1.47520929742e-08,0.0,1.42794415104e-05,0.299529750166,-0.00118208905361,0.117590166256,-1.84391775096e-06,0.0,0.00106708664443,-0.00929992127223,-0.0587918972887,1.72426419424,1.70938162824,1.72304982481,1.71079766899,2.93881880919,-0.000184375348386,0.0,-0.0701444219032,-0.0138256872759,0.0
0.06,0.000105836621858,4.99999999888,1.5,0.999959613977,2.37808973254e-07,0.0089871972872,-2.64597918012e-05,0.00529145228096,-1.12005886853e-07,0.0,4.7833267729e-05,0.299297340482,-0.00265170101197,0.176350176939,-9.3327548512e-06,0.0,0.0023870223053,-0.0139389984205,-0.0881650243575,1.72807321347,1.70575618449,1.72632729663,1.7079527759,2.93706545184,-0.000622058945494,0.0,-0.105186439953,-0.0310904778909,0.0
0.08,0.000250851042197,4.99999999371,1.5,0.999928253625,7.51288790054e-07,0.0119784668645,-6.27154456663e-05,0.00940571698834,-4.71886782421e-07,0.0,0.000113045190657,0.298972272539,-0.00470851927939,0.235068114173,-2.94869187801e-05,0.0,0.00423250719231,-0.0185649009772,-0.117510834606,1.7319146913,1.70217140819,1.7296887788,1.70519629209,2.93461157668,-0.00147382057763,0.0,-0.140194786607,-0.0552288792952,0.0
0.1,0.000489890838959,4.999999976,1.5,0.999887996892,1.83324456263e-06,0.0149659168388,-0.000122480918027,0.0146938030006,-1.4396719028e-06,0.0,0.000220403301943,0.298554855378,-0.00735190744062,0.293729974853,-7.19606948455e-05,0.0,0.0066011238955,-0.0231730474184,-0.146820335774,1.73578708699,1.69862853641,1.73313327978,1.70252859847,2.93145793211,-0.00287682518463,0.0,-0.175162494133,-0.0862086358973,0.0
0.12,0.000846420290183,4.99999992836,1.5,0.999838888511,3.79899409575e-06,0.0179485994366,-0.000211625539228,0.0211544488884,-3.58111100466e-06,0.0,0.000380340533055,0.298045491211,-0.0105810501334,0.352321772009,-0.000149144605556,0.0,0.00948977514966,-0.0277586947264,-0.17608462921,1.73968879879,1.69512878124,1.73665976131,1.69994994999,2.92760537111,-0.00496750106013,0.0,-0.210086221405,-0.123988346276,0.0
0.14,0.00134387564908,4.9999998194,1.5,0.999780979764,7.03280974261e-06,0.0209255716421,-0.000336013253794,0.0287861136568,-7.73699171445e-06,0.0,0.000603221135131,0.297444679043,-0.0143949551152,0.410829536112,-0.000276148851739,0.0,0.0128946918473,-0.0323168996978,-0.205294928859,1.74361815942,1.69167333483,1.74026714824,1.6974604672,2.92305476988,-0.0078813574239,0.0,-0.244967133817,-0.168517513661,0.0
0.16,0.00200565955621,4.99999959773,1.5,0.999714326445,1.19872539092e-05,0.0238958961553,-0.000501501571228,0.0375869770921,-1.50773371718e-05,0.0,0.000899327335781,0.296753019049,-0.0187924556816,0.469239314582,-0.000470783115813,0.0,0.0168114427071,-0.0368424813514,-0.234442577277,1.74757343154,1.68826337475,1.74395433798,1.69506012834,2.91780692901,-0.0117528030953,0.0,-0.279811765501,-0.219736605363,0.0
0.18,0.00285513545836,4.99999918482,1.5,0.999638986461,1.91823984347e-05,0.0268586423523,-0.000713940528995,0.0475549400785,-2.71551635549e-05,0.0,0.00127884620523,0.2959712177,-0.0237722133709,0.527537169142,-0.000753532750952,0.0,0.0212349455235,-0.0413299846264,-0.263519058128,1.75155280309,1.68490006963,1.74772020952,1.69274876231,2.91186245773,-0.0167149664337,0.0,-0.314632860423,-0.277577119824,0.0
0.2,0.00391562203306,4.99999846679,1.5,0.999555017057,2.92049302073e-05,0.0298128872498,-0.000979171667167,0.0586876248373,-4.59597254694e-05,0.0,0.00175185676252,0.295100093592,-0.0293327208776,0.585709170696,-0.0011475313829,0.0,0.0261594799098,-0.0457736455608,-0.29251600456,1.75555438245,1.68158458524,1.75156363192,1.69052604242,2.90522164144,-0.0228995166843,0.0,-0.349450189009,-0.341961659741,0.0
0.22,0.0052103876167,4.99999728519,1.5,0.999462471686,4.27071457494e-05,0.0327577164729,-0.00130302701303,0.0709823750361,-7.39691777409e-05,0.0,0.00232831735077,0.29414058396,-0.0354723050887,0.643741391395,-0.00167852995364,0.0,0.0315787014302,-0.050167358113,-0.321425202848,1.75957619351,1.67831809098,1.75548347213,1.68839148104,2.89788429328,-0.030436486831,0.0,-0.384291337012,-0.41280400951,0.0
