t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,1,-2.16847061578405E-29,1.53785846675454E-30,4.61224044556399E-30,0,0,0,-6.94437237506323E-34,-4.62570446659679E-31,1.23563238649333E-31,0.032888374511937,-0.261543816605221,3.4809226227616,174.527375601283,42.5141403956959,8.29182033379806,3.1269328339165,2.4040321117327,2.68595847189492,3.12693730272958,0,0,0,0,0,0
0.0257839,-4.99998957697719,4.4999571004223,1.20117795390155,0.999553386284988,0.029007112056554,0.007046255348718,0.001378060065715,0.001622122875702,-0.006652420031705,0.091268993185985,4.49999915715913,1.09618101623807,0.213795597308758,0.375150142637076,-1.79909877411116,3.27685497386693,2.92297693216594,-2.42224270290954,-0.603354104794849,3.14189820741555,3.14189981165261,3.12138760436724,3.1419000396932,13.2742564151098,-59.6324236564883,-7.91454538523302,0,0,0
0.0515678,-4.99983206679911,4.49931152800219,1.20515375915693,0.995949668829732,0.087391927125516,0.020755756404389,0.004004844590304,0.012362996516261,-0.050775652303665,0.216214888509154,4.57536494826111,1.03372611434102,0.198238765873625,0.713305649049689,-3.3110574458559,3.04118582557536,2.92296761674137,-2.44163808648911,-0.599414062183536,3.15686184588482,3.15686290672433,3.13648369923781,3.15686271651253,13.1149994487878,-58.6396991043721,-9.14017572190225,0,0,0
0.0773517,-4.99926209564631,4.49695493471928,1.21227974427514,0.988630949873646,0.146421972479532,0.03360578641306,0.006327131309296,0.033520980842018,-0.139359023393965,0.334683695186385,4.65073049917496,0.970771123506856,0.182783524165427,1.0396389335975,-4.75867546745862,2.76341196668921,2.92294435188181,-2.46365736561555,-0.59575536620034,3.17182502291391,3.17182583561099,3.15157048111699,3.17182535087071,12.6564872249734,-56.1443158409166,-10.773161865164,0,0,0
0.103136,-4.99801857433578,4.49174225758173,1.22231514793521,0.977485353495052,0.205859571421669,0.045559136716269,0.008277359097178,0.064483373964964,-0.27218568423317,0.44093761169888,4.72609545022963,0.907248389433741,0.167422617966395,1.34750022033901,-6.10490508509921,2.44692702730774,-0.103859450620691,0.550183419920073,-0.000688001612649,3.18678800082674,3.18678872370388,3.18676532955918,3.18678799873688,11.9400705573353,-52.2120750911412,-12.2745296966212,0,0,0
0.12892,-4.99585701692237,4.48254061049809,1.23487733744204,0.962516750251889,0.264965575171095,0.057045677433262,0.010023392927165,0.104643059433402,-0.448473394593544,0.529745379235158,4.72341754689988,0.921434272407077,0.167404878590745,1.63184193614615,-7.31698137889334,2.10792566845272,-0.109619743723523,0.552962285659694,1.15324898428811E-05,3.20174913534384,3.20175163054396,3.20175056252965,3.20174767522488,11.0278891674403,-47.0090819860912,-13.1478049306016,-35.3779790623015,201.792519745381,-33.8690454394613
0.154703,-4.99254552560127,4.46825899996709,1.24943735858629,0.943838912866843,0.323014805546264,0.068488471469082,0.011781285935107,0.153630834161855,-0.665740360726764,0.595037978414036,4.72059112065778,0.935691805420661,0.167405175943492,1.88972664594331,-8.36962277417394,1.77153661727798,-26.3173646655745,-25.5089041785986,5.14119923184316,3.21670392911367,3.21671450219023,3.21671378506367,3.04190243810445,10.0017825015504,-40.825570061932,-13.0464893727086,-39.7964489778943,239.820892870419,3.92941549294003
0.180487,-4.98787720487344,4.44792746271285,1.26527573990316,0.923495710343396,0.375885404560164,0.075444312894729,0.013189163188975,0.209277271811007,-0.916726771588538,0.628640513778655,4.04202640606372,0.277972367949769,0.299965424044257,2.12053878230871,-9.24776547622727,1.46558986571897,-151.65566891199,0.432733250781373,0.001036636361614,2.72637579264033,3.23167735953258,3.23167672506408,2.72633991253553,8.95180171193805,-34.0578249798888,-11.8658173590669,-40.7223813182592,262.479750698574,45.7911005867668
0.206271,-4.98177862987125,4.42097936593036,1.28142810782579,0.91271032539391,0.400832704525999,0.077671804981399,0.016125145784666,0.264104798360665,-1.17579945737332,0.62188672143765,0.13174940836535,0.289129925651431,0.299992152588919,2.3255440079917,-9.94744846177353,1.21291233078613,-17.5441705281185,-0.02023154902692,4.68220258947764E-05,3.18836278264739,3.24664020874039,3.24663966540221,3.18836064736034,7.95090829764695,-27.1364558487141,-9.79982779674631,-38.8185799958735,268.437895047763,80.1271943150761
0.232055,-4.97417799431866,4.38699330015695,1.29755768180672,0.912832857583547,0.39995616144671,0.079497301096396,0.021244925764596,0.32594216605583,-1.4602682096406,0.629301818508272,-0.320608007298493,0.288608277094833,0.299993359844092,2.50708218538414,-10.4749932251928,1.02622470804858,-0.223057292763451,-0.068142927792642,1.53089027948044E-05,3.26106119836867,3.26160305408861,3.26160260549634,3.2610602292737,7.04076394228734,-20.4602591123033,-7.24047966946596,-35.2989748577205,258.929146081061,99.2615783035077
0.257839,-4.9649340343404,4.34564493979733,1.31393931191823,0.914102700865507,0.396368806342773,0.08124604896683,0.02658995809988,0.391584465327511,-1.74660279730009,0.641723893261013,-0.326359297753503,0.286851285582317,0.299993754567553,2.66805167410058,-10.8454096641243,0.908551778790873,-0.22411545567895,-0.069255440980471,1.43575922516111E-06,3.27601903697744,3.27656589550505,3.27656553823256,3.27601863088914,6.24302936298104,-14.3662051934216,-4.5638186369469,-30.9392819855937,236.35135986665,103.811433794147
0.283623,-4.95395556724385,4.29693040534695,1.33068342809909,0.91536150053891,0.392695755609346,0.082968180180416,0.031930747733038,0.460477795729107,-2.03162920780279,0.657425884876725,-0.332137871792029,0.28506560912344,0.299993791587048,2.81168461392728,-11.0797976193141,0.856617468474723,-0.31937592486636,-0.070646783052755,-9.30862996179477E-06,3.29066289469,3.29152873256435,3.29152845932749,3.29066293794656,5.57064986650377,-9.09048601848266,-2.01421664959787,-26.0775192432199,204.613122540307,98.8835846958238
0.309407,-4.9411591275125,4.24088505397029,1.34787510066178,0.916614800012909,0.388922361084267,0.084662241660358,0.037268418247278,0.532593900288913,-2.31521963683799,0.676448037184458,-0.340372633747076,0.283244058417723,0.299993551574116,2.94132111711704,-11.2019445465564,0.863765623713588,-0.571468729598773,-0.072979141662777,-2.03385325698283E-05,3.30478393580886,3.30649156484573,3.30649136842232,3.30478443089556,5.0278130494258,-4.73733786105788,0.277233551545876,-21.0533450491039,168.832192888958,88.8714439215883
0.335191,-4.92646205042192,4.17754786642134,1.36560052064499,0.917883948278643,0.384995582628827,0.086324830150129,0.042607596317066,0.607898767884603,-2.59721686811802,0.698840977085383,-0.355107335352927,0.281362370373992,0.299993027167105,3.06021674817165,-11.2353558042101,0.921857566015017,-0.972052764336419,-0.077066374280199,-3.40582388829969E-05,3.31840989842166,3.32145439204201,3.3214542667022,3.31841093106197,4.61123981770027,-1.29581987400084,2.25303381673348,-16.1563470085677,133.475592286149,76.6292989392635
0.360975,-4.9097826065016,4.10696242106641,1.3839477336573,0.919208674738487,0.380815389799709,0.087949282263422,0.047957268919205,0.686353451768604,-2.87741645579853,0.724702650023202,-0.380170661980959,0.279375297468601,0.299992149012342,3.17146542922747,-11.2012775069911,1.02256651783438,-1.16021191077153,-0.08271804393488,-5.37668330970906E-05,3.33274374714454,3.336417214087,3.33641715567183,3.33274551680169,4.31466104516172,1.32169028972581,3.90588892551507,-11.5024903176327,101.517330646641,64.1042166385615
0.386759,-4.89103998156189,4.029177799719,1.40300878616628,0.920622769340275,0.376290869123635,0.089527721793955,0.053325511084045,0.767925487955074,-3.15559641963285,0.754244271253443,-0.410085468197523,0.27724250238871,0.299990762692844,3.27801728135244,-11.1175468364107,1.15820700604513,-1.20565077569647,-0.088941380681186,-8.55209946894775E-05,3.34755301178229,3.35138003128964,3.35138003667361,3.34755592488008,4.13249956125584,3.24740445648302,5.26067118347226,-7.0649382183971,74.6867632098436,52.5437800934575
0.412543,-4.8701543482285,3.94424958777763,1.42288157849658,0.922136046102181,0.37138489384346,0.091053936897803,0.058715231369865,0.852570570615763,-3.43147955791929,0.7877028346446,-0.441171866281323,0.274949245318161,0.299988557626718,3.38275873402659,-10.9980466970756,1.32220200118865,-1.45146424806805,-0.09582370132406,-0.000142746768591,3.36169380664999,3.3663428444458,3.36634291077203,3.36169872636635,4.06228515590279,4.63468502446235,6.36037039209664,-2.72319057368433,53.8041922705308,42.6506569948998
0.438327,-4.84704734289455,3.85224147236148,1.44366968218572,0.923760661881288,0.366051160718585,0.092520408188302,0.064130227515895,0.940219076005353,-3.70471357885601,0.825281852892156,-0.478596298239061,0.272478535071654,0.299984877056056,3.48862048106641,-10.8525673908067,1.50927580780196,-2.12989073630626,-0.104898135628324,-0.000260759256955,3.3743913801376,3.3813056548482,3.38130577877844,3.37440036988257,4.10573457402416,5.64225921312843,7.25545739782345,1.68513918568747,39.0776866807676,34.7149916654038
0.46411,-4.82164272115995,3.75322731172322,1.46548196452154,0.925545137325808,0.360145524679811,0.093911703703997,0.069583880662414,1.03077502985344,-3.97485112699365,0.867197994818015,-0.533513221645482,0.26977385037512,0.299978153661331,3.59867833744196,-10.686915362084,1.71544852491126,-1.08155738556404,-0.112074313717408,-0.000554418648156,3.39284166857429,3.39626846402829,3.39626864129762,3.39286069607765,4.26847618426444,6.42463666623812,7.99618820325873,6.31175919989839,30.3436722800468,28.7284516169615
0.489894,-4.79386572182663,3.64729004599059,1.4884378661522,0.927457455458813,0.353721988731459,0.095225786552144,0.075069283279668,1.12422096701321,-4.24165519231867,0.914034788017786,-0.56140000620687,0.266884135706977,0.299963858577589,3.71621586464634,-10.5031644983847,1.9379097717283,-0.310725032860634,-0.107134760521726,-0.002256314727933,3.41034297991619,3.41123127318911,3.41123149881394,3.41041992024177,4.55856721320524,7.12658061285778,8.62792139727027,11.2508701248671,27.2241448044431,24.501095898562
0.515678,-4.76364322121285,3.53452085154407,1.51266661478007,0.929382544555972,0.347058831314849,0.096481517761166,0.080557401437876,1.22045005138484,-4.50474963793965,0.965945352021321,-0.569411714290852,0.264121782062517,0.299905681948628,3.84471684158155,-10.2999982229887,2.17481947632259,-0.289643672884864,0.055192754853363,-0.034364107872886,3.42482946772488,3.42619408361496,3.42619435158994,3.42599811536754,4.98377287879378,7.87958657866485,9.18828937055765,16.4911467181926,29.2045305760703,21.7332721822218
0.541462,-4.73090501667584,3.41501942260141,1.53829851353754,0.931268805528769,0.340275093158317,0.097715538091798,0.086039939304626,1.31934560981821,-4.76383314696834,1.02287587229289,-0.576879862364287,0.265544867406382,0.299019640684719,3.98774782127964,-10.0731048690304,2.42500234822884,-5.84240727358172,5.61297297558616,-1.125981064094,3.40276404826804,3.44115689356075,3.44115720109646,3.44104771198294,5.54730348708591,8.79981592985287,9.70307496085252,21.8559315964774,35.6901106287559,19.9654082365382
0.567246,-4.6955851762535,3.28890204250264,1.56545325476317,0.933341076107296,0.332410278760159,0.09979501484551,0.091753592762547,1.42080181071501,-5.01778177844186,1.08413313081186,-0.727519999570962,0.410269289992091,0.269987439736623,4.14872461120355,-9.81557993690546,2.68749318170489,-2.89088017297904,2.63822865636332,-0.544870005504665,3.43749306598817,3.45611969875031,3.45612004936023,3.45601899678524,6.24331253249973,9.98782890953794,10.1804260793251,26.9939660122393,46.0758120990375,18.5135523063373
0.59303,-4.65760091496615,3.1563040267284,1.59426632225233,0.935670040389352,0.322996963346026,0.103101677464124,0.097798291404144,1.52616778987006,-5.26629547836298,1.15159883486078,-0.802058210536635,0.478293155526804,0.25593855739318,4.3306479716692,-9.51831235265666,2.96102755372246,-2.59987705446452,2.32872237432369,-0.485214052194349,3.45446360196405,3.47108249695068,3.47108289684586,3.47096127963384,7.05570285558927,11.5292051427027,10.608737903731,31.5076893248023,59.7806277436875,16.6116157639559
0.618814,-4.6168439013742,3.01738511648691,1.62489809561453,0.938079935263672,0.312581281087582,0.107130754926083,0.104028378819429,1.63595665113667,-5.50792031192915,1.22524792917822,-0.869093221597225,0.538336737146083,0.243427839126812,4.53590559311052,-9.17036035488618,3.2436169790172,-3.12034472341431,2.82154620808184,-0.582647596459966,3.46605528193764,3.48604528566786,3.48604574356024,3.48586575810965,7.96069719703949,13.494945882668,10.9599284550807,35.0992370793849,76.2391510184285,13.6205497175943
